# Diameter = 4.93mm
# Force (N),Strain (-)
29.8,0
29.4,-1.3624E-05
29.7,0
30,0
97.5,2.7248E-05
196,8.17439E-05
267,0.000177112
327,0.000313351
376,0.000531335
415,0.000803815
451,0.001144414
483,0.001553134
511,0.001989101
538,0.002438692
562,0.002888283
586,0.003351499
608,0.00380109
630,0.004237057
651,0.004686649
671,0.005122616
692,0.005558583
711,0.00599455
731,0.006430518
750,0.006866485
769,0.007302452
788,0.00773842
807,0.008174387
825,0.008610354
844,0.009032698
863,0.009468665
882,0.009904632
900,0.010340599
918,0.010776567
936,0.011212534
955,0.011634877
973,0.012043597
991,0.012452316
1010,0.012997275
1030,0.013405995
1040,0.013814714
1060,0.014223433
1080,0.014632153
1090,0.015040872
1110,0.015585831
1130,0.01599455
1150,0.01640327
1160,0.016811989
1180,0.017356948
1190,0.017765668
1210,0.018174387
1230,0.018583106
1240,0.018991826
1260,0.019536785
1270,0.019945504
1290,0.020354223
1310,0.020762943
1320,0.021171662
1340,0.021716621
1350,0.022125341
1370,0.02253406
1380,0.022942779
1390,0.023487738
1410,0.023896458
1420,0.024305177
1440,0.024713896
1450,0.025122616
1470,0.025667575
1480,0.026076294
1490,0.026485014
1510,0.026893733
1520,0.027438692
1540,0.027847411
1550,0.028256131
1560,0.02866485
1580,0.029209809
1590,0.029618529
1600,0.030027248
1620,0.030435967
1630,0.030980926
1640,0.031389646
1660,0.031798365
1670,0.032207084
1680,0.032752044
1700,0.033160763
1710,0.033569482
1720,0.033978202
1730,0.034523161
1750,0.03493188
1760,0.035340599
1770,0.035749319
1780,0.036294278
1800,0.036702997
1810,0.037111717
1820,0.037656676
1830,0.038065395
1840,0.038474114
1860,0.038882834
1870,0.039427793
1880,0.039836512
1890,0.040245232
1900,0.040790191
1910,0.04119891
1930,0.041607629
1940,0.042016349
1950,0.042561308
1960,0.042970027
1970,0.043378747
1980,0.043923706
1990,0.044332425
2010,0.044741144
2020,0.045286104
2030,0.045694823
2040,0.046103542
2050,0.046648501
2060,0.047057221
2070,0.04746594
2080,0.048010899
2090,0.048419619
2100,0.048828338
2110,0.049373297
2130,0.049782016
2140,0.050190736
2150,0.050735695
2160,0.051144414
2170,0.051553134
2180,0.052098093
2190,0.052506812
2200,0.052915531
2210,0.05346049
2220,0.05386921
2230,0.054277929
2240,0.054822888
2250,0.055231608
2260,0.055640327
2270,0.056185286
2280,0.056594005
2290,0.057002725
2300,0.057547684
2310,0.057956403
2320,0.058501362
2330,0.058910082
2340,0.059318801
2350,0.05986376
2360,0.06027248
2370,0.060817439
2380,0.061226158
2380,0.061634877
2390,0.062179837
2400,0.062588556
2410,0.062997275
2420,0.063542234
2430,0.063950954
2440,0.064495913
2450,0.064904632
2460,0.065313351
2470,0.065858311
2480,0.06626703
2490,0.066811989
2490,0.067220708
2500,0.067629428
2510,0.068174387
2520,0.068583106
2530,0.069128065
2540,0.069536785
2550,0.069945504
2560,0.070490463
2560,0.070899183
2570,0.071444142
2580,0.071852861
2590,0.07226158
2600,0.07280654
2610,0.073215259
2620,0.073760218
2620,0.074168937
2630,0.074577657
2640,0.075122616
2650,0.075531335
2660,0.076076294
2660,0.076485014
2670,0.077029973
2680,0.077438692
2690,0.077983651
2700,0.078392371
2700,0.07893733
2710,0.079346049
2720,0.079754768
2730,0.080299728
2740,0.080708447
2740,0.081253406
2750,0.081662125
2760,0.082207084
2770,0.082615804
2780,0.083160763
2780,0.083569482
2790,0.084114441
2800,0.084523161
2810,0.08493188
2810,0.085476839
2820,0.085885559
2830,0.086430518
2840,0.086839237
2840,0.087384196
2850,0.087792916
2860,0.088337875
2870,0.088746594
2870,0.089291553
2880,0.089700272
2890,0.090245232
2890,0.090653951
2900,0.09119891
2910,0.091607629
2920,0.092152589
2920,0.092561308
2930,0.093106267
2940,0.093514986
2940,0.094059946
2950,0.094468665
2960,0.095013624
2960,0.095422343
2970,0.095967302
2980,0.096376022
2990,0.096784741
2990,0.0973297
3000,0.09773842
3000,0.098283379
3010,0.098692098
3020,0.099237057
3030,0.099782016
3030,0.100190736
3040,0.100735695
3040,0.101144414
3050,0.101689373
3060,0.102098093
3060,0.102643052
3070,0.103051771
3080,0.10359673
3080,0.10400545
3090,0.104550409
3100,0.104959128
3100,0.105504087
3110,0.105912807
3110,0.106457766
3120,0.106866485
3130,0.107411444
3130,0.107820163
3140,0.108365123
3150,0.108910082
3150,0.109318801
3160,0.10986376
3160,0.11027248
3170,0.110817439
3180,0.111226158
3180,0.111771117
3190,0.112179837
3190,0.112724796
3200,0.113133515
3210,0.113678474
3210,0.114223433
3220,0.114632153
3220,0.115177112
3230,0.115585831
3230,0.11613079
3240,0.11653951
3250,0.117084469
3250,0.117493188
3260,0.118038147
3260,0.118583106
3270,0.118991826
3270,0.119536785
3280,0.119945504
3280,0.120490463
3290,0.120899183
3300,0.121444142
3300,0.121989101
3310,0.12239782
3310,0.122942779
3320,0.123351499
3320,0.123896458
3330,0.124305177
3330,0.124850136
3340,0.125395095
3340,0.125803815
3350,0.126348774
3350,0.126757493
3360,0.127302452
3360,0.127847411
3370,0.128256131
3370,0.12880109
3380,0.129346049
3390,0.129754768
3390,0.130299728
3400,0.130708447
3400,0.131253406
3400,0.131798365
3410,0.132207084
3410,0.132752044
3420,0.133160763
3420,0.133705722
3430,0.134250681
3430,0.134250681
3440,0.135613079
3440,0.135613079
3450,0.135613079
3450,0.136975477
3460,0.136975477
3460,0.138337875
3470,0.138337875
3470,0.138337875
3480,0.139700272
3480,0.139700272
3490,0.139700272
3490,0.14106267
3500,0.14106267
3500,0.14106267
3500,0.142425068
3510,0.142425068
3510,0.143787466
3520,0.143787466
3520,0.143787466
3530,0.145149864
3530,0.145149864
3540,0.145149864
3540,0.146512262
3540,0.146512262
3550,0.146512262
3550,0.147874659
3560,0.147874659
3560,0.149237057
3570,0.149237057
3570,0.149237057
3570,0.150599455
3580,0.150599455
3580,0.150599455
3590,0.151961853
3590,0.151961853
3600,0.151961853
3600,0.153324251
3600,0.153324251
3610,0.154686649
3610,0.154686649
3620,0.154686649
3620,0.156049046
3620,0.156049046
3630,0.156049046
3630,0.157411444
3640,0.157411444
3640,0.158773842
3640,0.158773842
3650,0.158773842
3650,0.16013624
3660,0.16013624
3660,0.16013624
3660,0.161498638
3670,0.161498638
3670,0.161498638
3670,0.162861035
3680,0.162861035
3680,0.164223433
3690,0.164223433
3690,0.164223433
3690,0.165585831
3700,0.165585831
3700,0.165585831
3700,0.166948229
3710,0.166948229
3710,0.168310627
3710,0.168310627
3720,0.168310627
3720,0.169673025
3730,0.169673025
3730,0.169673025
3730,0.171035422
3740,0.171035422
3740,0.17239782
3740,0.17239782
3750,0.17239782
3750,0.173760218
3750,0.173760218
3760,0.173760218
3760,0.175122616
3760,0.175122616
3770,0.176485014
3770,0.176485014
3770,0.176485014
3780,0.177847411
3780,0.177847411
3780,0.177847411
3790,0.179209809
3790,0.179209809
3790,0.180572207
3800,0.180572207
3800,0.180572207
3800,0.181934605
3810,0.181934605
3810,0.181934605
3810,0.183297003
3810,0.183297003
3820,0.184659401
3820,0.184659401
3820,0.184659401
3830,0.186021798
3830,0.186021798
3830,0.186021798
3840,0.187384196
3840,0.187384196
3840,0.188746594
3850,0.188746594
3850,0.188746594
3850,0.190108992
3850,0.190108992
3860,0.190108992
3860,0.19147139
3860,0.19147139
3870,0.192833787
3870,0.192833787
3870,0.192833787
3870,0.194196185
3880,0.194196185
3880,0.194196185
3880,0.195558583
3880,0.195558583
3890,0.196920981
3890,0.196920981
3890,0.196920981
3900,0.198283379
3900,0.198283379
3900,0.199645777
3900,0.199645777
3910,0.199645777
3910,0.201008174
3910,0.201008174
3910,0.201008174
3920,0.202370572
3920,0.202370572
3920,0.20373297
3930,0.20373297
3930,0.20373297
3930,0.205095368
3930,0.205095368
3930,0.206457766
3940,0.206457766
3940,0.206457766
3940,0.207820163
3940,0.207820163
3950,0.207820163
3950,0.209182561
3950,0.209182561
3950,0.210544959
3960,0.210544959
3960,0.210544959
3960,0.211907357
3960,0.211907357
3970,0.213269755
3970,0.213269755
3970,0.213269755
3970,0.214632153
3980,0.214632153
3980,0.214632153
3980,0.21599455
3980,0.21599455
3980,0.217356948
3990,0.217356948
3990,0.217356948
3990,0.218719346
3990,0.218719346
4000,0.220081744
4000,0.220081744
4000,0.220081744
4000,0.221444142
4000,0.221444142
4010,0.221444142
4010,0.22280654
4010,0.22280654
4010,0.224168937
4020,0.224168937
4020,0.224168937
4020,0.225531335
4020,0.225531335
4020,0.226893733
4030,0.226893733
4030,0.226893733
4030,0.228256131
4030,0.228256131
4030,0.229618529
4040,0.229618529
4040,0.229618529
4040,0.230980926
4040,0.230980926
4040,0.230980926
4040,0.232343324
4050,0.232343324
4050,0.233705722
4050,0.233705722
4050,0.233705722
4060,0.23506812
4060,0.23506812
4060,0.236430518
4060,0.236430518
4060,0.236430518
4060,0.237792916
4070,0.237792916
4070,0.239155313
4070,0.239155313
4070,0.239155313
4070,0.240517711
4070,0.240517711
4080,0.241880109
4080,0.241880109
4080,0.241880109
4080,0.243242507
4080,0.243242507
4090,0.243242507
4090,0.244604905
4090,0.244604905
4090,0.245967302
4090,0.245967302
4090,0.245967302
4100,0.2473297
4100,0.2473297
4100,0.248692098
4100,0.248692098
4100,0.248692098
4100,0.250054496
4100,0.250054496
4110,0.251416894
4110,0.251416894
4110,0.251416894
4110,0.252779292
4110,0.252779292
4110,0.254141689
4120,0.254141689
4120,0.254141689
4120,0.255504087
4120,0.255504087
4120,0.256866485
4120,0.256866485
4120,0.256866485
